entity_id,entity_type,license_id,license_name,is_pstn
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOlJUVF9lMjIyYWY1My05ZWJiLTQ3ZTEtOWMyYS04ZGIzNDQ3OTkxNTY,Real-Time Translations,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9hZjFhMGE3My1mMDBkLTQwMGUtOTMxZC02YTRiNmNmNGI4Y2Q,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOlJUVF9lMjIyYWY1My05ZWJiLTQ3ZTEtOWMyYS04ZGIzNDQ3OTkxNTY,Real-Time Translations,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOk1TXzVhYjk0OTBlLTRjMmQtNDExMi1iNjQ4LTVmZTg2MTAzZDBiOA,Advanced Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkVFX2NkYzUxNWNlLWU4MjEtNGEwNC04NzUyLTJkMDQzZjA3NjQyY19qbWFyZXNjaGxvcC02eGxyLndlYmV4LmNvbQ,Webex Meetings Suite,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8xZWZiZjQ1Ny0zZWRkLTQ0MDUtYWNhYi1hNGZjMjY4ZmMyM2I,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkJDU1REX2UwZjY1MTNmLTFhYWEtNDU4Yi05OGE2LTllNWZkMDcyNzU2OA,Webex Calling - Professional,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9iYzliYjY2OC0xY2FlLTQ4YjItODcyYy01MDg5ZDRkNGI3ZWI,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkJDU1REX2UwZjY1MTNmLTFhYWEtNDU4Yi05OGE2LTllNWZkMDcyNzU2OA,Webex Calling - Professional,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkNGX2IzMmJkMDAwLTIwYTYtNGMwZC1hYWU2LTRlZDUyZWVlMTNkYg,Advanced Space Meetings,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS82NzNhMThmMC04Mzg5LTQyYjEtYTgwOS1iODE4M2I1ODJjZTM,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS8xZWZiZjQ1Ny0zZWRkLTQ0MDUtYWNhYi1hNGZjMjY4ZmMyM2I,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
Y2lzY29zcGFyazovL3VzL1BFT1BMRS9iYzliYjY2OC0xY2FlLTQ4YjItODcyYy01MDg5ZDRkNGI3ZWI,user,Y2lzY29zcGFyazovL3VzL0xJQ0VOU0UvZTVmN2Q5NzMtYjI2OS00Njg2LTk5N2UtNDUxMTkxNjhjZWQyOkZNU185ZWNhNzgxNC0zMzEzLTQ2NGYtOTY0Mi0wMjM5ODc1YmM5Zjg,Basic Messaging,False
