module,method,result,http_status,error,count,elapsed_ms
people,people.list,ok,,,48,1658
groups,groups.list,ok,,,54,1692
locations,locations.list,ok,,,7,433
licenses,licenses.list,ok,,,15,2328
call_queues,telephony.callqueue.list,ok,,,1,875
hunt_groups,telephony.huntgroup.list,ok,,,0,281
auto_attendants,telephony.auto_attendant.list,not_found,404,"404 Client Error: Not Found for url: https://webexapis.com/v1/telephony/config/locations/Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA/autoAttendants, No static resource hydra/v1/telephony/config/locations/Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA/autoAttendants.",0,0
virtual_lines,telephony.virtual_lines.list,ok,,,0,282
virtual_extensions,telephony.virtual_extensions.list_range,ok,,,0,298
workspaces,workspaces.list,ok,,,2,433
calling_locations,telephony.locations.list,ok,,,1,420
calling_locations_details,telephony.locations.details,ok,,,0,0
location_details,locations.details,ok,,,70,1527
people_details,people.details,ok,,,1440,11585
workspace_details,workspaces.details,ok,,,0,0
location_pstn_connection,telephony.pstn.read,ok,,,0,0
person_call_forwarding,person_settings.forwarding.read,ok,,,0,0
workspace_call_forwarding,workspace_settings.forwarding.read,ok,,,0,0
group_members,groups.members,ok,,,15,26506
license_assigned_users,licenses.assigned_users,ok,,,198,7764
workspace_capabilities,workspaces.capabilities,ok,,,0,0
auto_attendants,telephony.auto_attendant.list,ok,,,5,287
auto_attendant_details,telephony.auto_attendant.details,ok,,,0,0
auto_attendant_announcement_files,telephony.auto_attendant.list_announcement_files,ok,,,0,0
auto_attendant_forwarding,telephony.auto_attendant.forwarding.settings,ok,,,0,0
hunt_groups,telephony.huntgroup.list,ok,,,0,280
hunt_group_details,telephony.huntgroup.details,ok,,,0,0
hunt_group_forwarding,telephony.huntgroup.forwarding.settings,ok,,,0,0
call_queues,telephony.callqueue.list,ok,,,1,283
call_queue_details,telephony.callqueue.details,ok,,,28,640
call_queue_settings,telephony.callqueue.get_call_queue_settings,ok,,,5,450
call_queue_agents,telephony.callqueue.agents.list,ok,,,0,271
call_queue_forwarding,telephony.callqueue.forwarding.settings,ok,,,4,310
virtual_lines,telephony.virtual_lines.list,ok,,,0,256
virtual_line_details,telephony.virtual_lines.details,ok,,,0,0
virtual_line_assigned_devices,telephony.virtual_lines.assigned_devices,ok,,,0,0
virtual_extensions,telephony.virtual_extensions.list_extensions,ok,,,0,274
virtual_extension_details,telephony.virtual_extensions.details_extension,ok,,,0,0
virtual_extension_ranges,telephony.virtual_extensions.list_range,ok,,,0,255
virtual_extension_range_details,telephony.virtual_extensions.details_range,ok,,,0,0
person_numbers,person_settings.numbers.read,ok,,,0,0
person_permissions_in,person_settings.permissions_in.read,ok,,,0,0
person_permissions_out,person_settings.permissions_out.read,ok,,,0,0
person_out_access_codes,person_settings.permissions_out.access_codes.read,ok,,,0,0
person_out_digit_patterns,person_settings.permissions_out.digit_patterns.get_digit_patterns,ok,,,0,0
person_transfer_numbers,person_settings.permissions_out.transfer_numbers.read,ok,,,0,0
workspace_permissions_in,workspace_settings.permissions_in.read,ok,,,0,0
workspace_permissions_out,workspace_settings.permissions_out.read,ok,,,0,0
workspace_numbers,workspace_settings.numbers.read,ok,,,0,0
workspace_devices,workspace_settings.devices.list,ok,,,0,0
person_available_numbers_primary,person_settings.available_numbers.primary,ok,,,0,0
person_available_numbers_secondary,person_settings.available_numbers.secondary,ok,,,0,0
person_available_numbers_call_forward,person_settings.available_numbers.call_forward,ok,,,0,0
person_available_numbers_call_intercept,person_settings.available_numbers.call_intercept,ok,,,0,0
person_available_numbers_ecbn,person_settings.available_numbers.ecbn,ok,,,0,0
person_available_numbers_fax_message,person_settings.available_numbers.fax_message,ok,,,0,0
virtual_line_available_numbers_available,telephony.virtual_lines.available_numbers.available,ok,,,0,0
virtual_line_available_numbers_primary,telephony.virtual_lines.available_numbers.primary,ok,,,0,0
virtual_line_available_numbers_secondary,telephony.virtual_lines.available_numbers.secondary,ok,,,0,0
workspace_available_numbers_available,workspace_settings.available_numbers.available,ok,,,0,0
workspace_available_numbers_primary,workspace_settings.available_numbers.primary,ok,,,0,0
workspace_available_numbers_secondary,workspace_settings.available_numbers.secondary,ok,,,0,0
