module,method,result,http_status,error,count,elapsed_ms
people,people.list,ok,,,49,3086
groups,groups.list,ok,,,54,699
locations,locations.list,ok,,,7,394
licenses,licenses.list,ok,,,15,2357
call_queues,telephony.callqueue.list,ok,,,1,868
hunt_groups,telephony.huntgroup.list,ok,,,0,248
auto_attendants,telephony.auto_attendant.list,not_found,404,"404 Client Error: Not Found for url: https://webexapis.com/v1/telephony/config/locations/Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA/autoAttendants, No static resource hydra/v1/telephony/config/locations/Y2lzY29zcGFyazovL3VzL0xPQ0FUSU9OLzRmZmQ4YmYzLWRlMzEtNDQxMi04ZGRhLWI0NDI0YjExOWI0OA/autoAttendants.",0,0
virtual_lines,telephony.virtual_lines.list,ok,,,0,302
virtual_extensions,telephony.virtual_extensions.list_range,ok,,,0,286
workspaces,workspaces.list,ok,,,6,908
calling_locations,telephony.locations.list,ok,,,2,532
calling_locations_details,telephony.locations.details,ok,,,0,0
location_details,locations.details,ok,,,70,1484
people_details,people.details,ok,,,1470,12070
workspace_details,workspaces.details,ok,,,138,2397
location_pstn_connection,telephony.pstn.read,ok,,,0,0
person_call_forwarding,person_settings.forwarding.read,ok,,,0,0
workspace_call_forwarding,workspace_settings.forwarding.read,ok,,,2,2081
group_members,groups.members,ok,,,20,23400
license_assigned_users,licenses.assigned_users,ok,,,203,7387
workspace_capabilities,workspaces.capabilities,ok,,,60,1874
auto_attendants,telephony.auto_attendant.list,ok,,,5,277
auto_attendant_details,telephony.auto_attendant.details,ok,,,0,0
auto_attendant_announcement_files,telephony.auto_attendant.list_announcement_files,ok,,,0,0
auto_attendant_forwarding,telephony.auto_attendant.forwarding.settings,ok,,,0,0
hunt_groups,telephony.huntgroup.list,ok,,,0,282
hunt_group_details,telephony.huntgroup.details,ok,,,0,0
hunt_group_forwarding,telephony.huntgroup.forwarding.settings,ok,,,0,0
call_queues,telephony.callqueue.list,ok,,,1,249
call_queue_details,telephony.callqueue.details,ok,,,28,508
call_queue_settings,telephony.callqueue.get_call_queue_settings,ok,,,5,353
call_queue_agents,telephony.callqueue.agents.list,ok,,,0,266
call_queue_forwarding,telephony.callqueue.forwarding.settings,ok,,,4,317
virtual_lines,telephony.virtual_lines.list,ok,,,0,263
virtual_line_details,telephony.virtual_lines.details,ok,,,0,0
virtual_line_assigned_devices,telephony.virtual_lines.assigned_devices,ok,,,0,0
virtual_extensions,telephony.virtual_extensions.list_extensions,ok,,,0,286
virtual_extension_details,telephony.virtual_extensions.details_extension,ok,,,0,0
virtual_extension_ranges,telephony.virtual_extensions.list_range,ok,,,0,283
virtual_extension_range_details,telephony.virtual_extensions.details_range,ok,,,0,0
person_numbers,person_settings.numbers.read,ok,,,0,0
person_permissions_in,person_settings.permissions_in.read,ok,,,0,0
person_permissions_out,person_settings.permissions_out.read,ok,,,0,0
person_out_access_codes,person_settings.permissions_out.access_codes.read,ok,,,0,0
person_out_digit_patterns,person_settings.permissions_out.digit_patterns.get_digit_patterns,ok,,,0,0
person_transfer_numbers,person_settings.permissions_out.transfer_numbers.read,ok,,,0,0
workspace_permissions_in,workspace_settings.permissions_in.read,ok,,,4,1226
workspace_permissions_out,workspace_settings.permissions_out.read,ok,,,3,1263
workspace_numbers,workspace_settings.numbers.read,ok,,,5,1361
workspace_devices,workspace_settings.devices.list,error,400,"400 Client Error: Bad Request for url: https://webexapis.com/v1/telephony/config/workspaces/Y2lzY29zcGFyazovL3VybjpURUFNOnVzLXdlc3QtMl9yL1BMQUNFL2IwYTRkZjI1LTU2MDYtNDI4Zi1iMTYzLWE5YTZkYTk5MWY3YQ==/devices, 4003 [Error 4003] Unauthorized request: UserAccessDeviceGetListWithDeviceOwnerRequestWCV3",0,0
person_available_numbers_primary,person_settings.available_numbers.primary,ok,,,0,0
person_available_numbers_secondary,person_settings.available_numbers.secondary,ok,,,0,0
person_available_numbers_call_forward,person_settings.available_numbers.call_forward,ok,,,0,0
person_available_numbers_call_intercept,person_settings.available_numbers.call_intercept,ok,,,0,0
person_available_numbers_ecbn,person_settings.available_numbers.ecbn,ok,,,0,0
person_available_numbers_fax_message,person_settings.available_numbers.fax_message,ok,,,0,0
virtual_line_available_numbers_available,telephony.virtual_lines.available_numbers.available,ok,,,0,0
virtual_line_available_numbers_primary,telephony.virtual_lines.available_numbers.primary,ok,,,0,0
virtual_line_available_numbers_secondary,telephony.virtual_lines.available_numbers.secondary,ok,,,0,0
workspace_available_numbers_available,workspace_settings.available_numbers.available,ok,,,0,1603
workspace_available_numbers_secondary,workspace_settings.available_numbers.secondary,error,405,"405 Client Error: Method Not Allowed for url: https://webexapis.com/v1/telephony/config/workspaces/Y2lzY29zcGFyazovL3VybjpURUFNOnVzLXdlc3QtMl9yL1BMQUNFL2IwYTRkZjI1LTU2MDYtNDI4Zi1iMTYzLWE5YTZkYTk5MWY3YQ==/secondary/availableNumbers, 25409 Invalid Professional Place: b0a4df25-5606-428f-b163-a9a6da991f7a",0,0
